order_id,item_id
1,41
2,41
3,40
4,39
5,38
6,37
7,36
8,35
9,34
10,33
11,32
12,31
13,30
14,29
15,28
16,27
17,26
18,25
19,24
20,23
21,22
22,21
23,20
24,19
25,18
1,17
2,16
3,15
4,14
5,13
6,12
7,11
8,10
9,9
10,8
11,7
12,6
13,5
14,4
15,3
16,2
17,1
18,40
19,41
20,40
21,39
22,38
23,37
24,36
25,35
1,34
2,33
3,32
4,31
5,30
6,29
7,28
8,27
9,26
10,25
11,24
12,23
13,22
14,21
15,20
16,19
17,18
18,17
19,16
20,15
21,14
22,13
23,12
24,11
25,10
1,9
2,8
3,7
4,6
5,5
6,4
7,3
8,2
9,1
10,40
11,41
12,40
13,39
14,38
15,37
16,36
17,35
18,34
19,33
20,32
21,31
22,30
23,29
24,28
25,27
1,26
2,25
3,24
4,23
5,22
6,21
7,20
8,19
9,18
10,17
11,16
12,15
13,14
14,13
15,12
16,11
17,10
18,9
19,8
20,7
21,6
22,5
23,4
24,3
25,2
